stock_id,stockcode,fishing_year,sector_mt,data_type
CODGBE,2,2009,527,ACL
CODGBE,2,2009,500,Catch
HADGBE,4,2009,11100,ACL
HADGBE,4,2009,2200,Catch
CODGBE,2,2010,325,ACL
CODGBE,2,2010,253.5,Catch
HADGBE,4,2010,11913,ACL
HADGBE,4,2010,1823.1,Catch
CODGBE,2,2011,196,ACL
CODGBE,2,2011,162.4,Catch
HADGBE,4,2011,9581,ACL
HADGBE,4,2011,1060.2,Catch
CODGBE,2,2012,159,ACL
CODGBE,2,2012,67.4,Catch
HADGBE,4,2012,6861,ACL
HADGBE,4,2012,365.9,Catch
CODGBE,2,2013,90,ACL
CODGBE,2,2013,33.3,Catch
HADGBE,4,2013,3742,ACL
HADGBE,4,2013,528.7,Catch
CODGBE,2,2014,145.2,ACL
CODGBE,2,2014,68.7,Catch
HADGBE,4,2014,9454,ACL
HADGBE,4,2014,1536.2,Catch
CODGBE,2,2015,121.3,ACL
CODGBE,2,2015,82,Catch
HADGBE,4,2015,15045.4,ACL
HADGBE,4,2015,1057.9,Catch
CODGBE,2,2016,135.4,ACL
CODGBE,2,2016,82,Catch
HADGBE,4,2016,15063,ACL
HADGBE,4,2016,549,Catch
CODGBE,2,2017,143.3,ACL
CODGBE,2,2017,43.7,Catch
HADGBE,4,2017,29287.6,ACL
HADGBE,4,2017,407.3,Catch
CODGBE,2,2018,251.8,ACL
CODGBE,2,2018,106.4,Catch
HADGBE,4,2018,15487.8,ACL
HADGBE,4,2018,623.1,Catch
CODGBE,2,2019,182.5,ACL
CODGBE,2,2019,65.8,Catch
HADGBE,4,2019,14762.3,ACL
HADGBE,4,2019,715.6,Catch
